lat;lng;address;full_address;unique_name_eng;category_eng;building_type_eng;architect_1_eng;architect_2_eng;architect_3_eng;architect_4_eng;architect_all_eng;year_start;year_end;year_start_with_minus;year_display_eng;year_start_us_date;notes_eng;source;city;country;link_image;image;is_from_web;source_eng;author;license
56.9499238;24.1018194;Anglikāņu iela 5;Anglikāņu iela 5, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Portal;Christoph Haberland;;;;Christoph Haberland;1795;1795;-1795;1795;1795-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67–68.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_anglikanu-iela-5_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_anglikanu-iela-5_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9471238;24.1117706;Audēju iela 8;Audēju iela 8, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1790;1790;-1790;1790;1790-01-01;;Harijs Tumans, Antīkie tēli Rīgas arhitektūrā (Rīga: LU Akadēmiskais apgāds), 73.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_audeju-iela-8_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_audeju-iela-8_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9471542;24.1105839;Grēcinieku iela 1;Grēcinieku iela 1, Centra rajons, Rīga, LV-1047;;Bourgeois classicism;Residential building;Christoph Haberland;Andreas Jensens Wagensen;;;Andreas Jensens Wagensen and Christoph Haberland;1779;1779;-1779;1779;1779-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68–69.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_grecinieku-iela-1_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_grecinieku-iela-1_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9522262;24.1054949;Jēkaba iela 24;Jēkaba iela 24, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1789;1789;-1789;1789;1789-01-01;;https://www.redzet.lv/travel/arhitektura/klasicisms/jekaba-iela-24-riga;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_jekaba-iela-24_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_jekaba-iela-24_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9485403;24.1094734;Kalēju iela 3;Kalēju iela 3, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Unknown;;;;Unknown;;;;Unknown;;;https://www.redzet.lv/info/Klasicisms;Rīga;Latvija;;;;;;
56.9499542;24.1033169;Miesnieku iela 1;Miesnieku iela 1, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1779;1779;-1779;1779;1779-01-01;;https://www.redzet.lv/info/Miesnieku_iela_1,_R%C4%ABga;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_miesnieku-iela-1_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_miesnieku-iela-1_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9504073;24.1022128;Pils iela 6;Pils iela 6, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1795;1795;-1795;1795;1795-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_pils-iela-6_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_pils-iela-6_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9501417;24.1022316;Pils iela 9;Pils iela 9, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Johann Heinrich Krämer;Christoph Haberland;;;Johann Heinrich Krämer and Christoph Haberland;1793;1793;-1793;1793;1793-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_pils-iela-9_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_pils-iela-9_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9506653;24.1080951;Smilšu iela 5;Smilšu iela 5, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1794;1794;-1794;1794;1794-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_smilsu-iela-5_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_smilsu-iela-5_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9483852;24.1118655;Teātra iela 6;Teātra iela 6, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1785;1785;-1785;1785;1785-01-01;The building belonged to Christoph Haberland. Only the elaborately decorated façades have been preserved in their original form.;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_teatra-iela-6_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_teatra-iela-6_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9462289;24.1117086;Vecpilsētas iela 17;Vecpilsētas iela 17, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1787;1788;-1787;1787–1788;1787-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_vecpilsetas-iela-17_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_vecpilsetas-iela-17_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9495075;24.1068108;Šķūņu iela 17;Šķūņu iela 17, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1787;1794;-1787;1787–1794;1787-01-01;Hollander's houses at Šķūņu iela 17/19. Oval Hall in the Hollander's house at Šķūņu iela 17/19 (1787). Several luxurious interiors, doors, and ceiling paintings from the Classicism era are still visible in the buildings. The oval dining hall on the second floor was restored in 1959 and again from 1975 to 1977. The buildings now house shops, a library, and offices.;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_skunu-iela-17_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_skunu-iela-17_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9495504;24.1067364;Šķūņu iela 19;Šķūņu iela 19, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1787;1787;-1787;1787;1787-01-01;Hollander's houses at Šķūņu iela 17/19. Oval Hall in the Hollander's house at Šķūņu iela 17/19 (1787). Several luxurious interiors, doors, and ceiling paintings from the Classicism era are still visible in the buildings. The oval dining hall on the second floor was restored in 1959 and again from 1975 to 1977. The buildings now house shops, a library, and offices.;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_skunu-iela-19_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_skunu-iela-19_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9499267;24.1092808;Zirgu iela 14;Zirgu iela 14, Centra rajons, Rīga, LV-1050;;Bourgeois classicism;Residential building;Christoph Haberland;;;;Christoph Haberland;1788;1788;-1788;1788;1788-01-01;;https://wikimapia.org/15169690/lv/Zirgu-iela-14 un https://www.redzet.lv/info/Klasicisms;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_zirgu-iela-14_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_zirgu-iela-14_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
57.4251941;27.0485612;Pils iela 25;Pils iela 25, Alūksne, Alūksne pilsēta, Alūksnes novads, LV-4301;Alūksne Evangelical Lutheran Church;Evangelical churches  ;Church;Christoph Haberland;;;;Christoph Haberland;1788;1788;-1788;1788;1788-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65. un https://kulturaskanons.lv/archive/kristofs-haberlands/;Alūksne;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/aluksne_pils-iela-25_classicism_web.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/aluksne_pils-iela-25_classicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9561061;24.1212739;Brīvības iela 56;Brīvības iela 56, Centra rajons, Rīga, LV-1010;St. Alexander Nevsky Church;Orthodox churches ;Church;Christian Friedrich Breitkreutz (?);;;;Christian Friedrich Breitkreutz (?);1825;1825;-1825;1825;1825-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 75.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_brivibas-iela-56_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_brivibas-iela-56_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9550774;24.1009927;Citadeles iela 7;Citadeles iela 7, Centra rajons, Rīga, LV-1010;St. Peter and St. Paul Church;Orthodox churches ;Church;Sigismund Sege von Laurenberg;;;;Sigismund Sege von Laurenberg;1785;1785;-1785;1785;1785-01-01;"Until 1886, the building served as an Orthodox cathedral; afterward, it was handed over to the Estonian congregation. It was restored in 1987 and converted into the Ave Sol concert hall. The work was supervised by Christoph Haberland.";Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_citadeles-iela-7_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_citadeles-iela-7_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9415566;24.123625;Elijas iela 18;Elijas iela 18, Latgales priekšpilsēta, Rīga, LV-1050;Evangelical Lutheran Church of Jesus;Evangelical churches  ;Church;Christian Friedrich Breitkreutz;Johann Peter Krik;J. D. Gottfried;;Christian Friedrich Breitkreutz, Johann Peter Krik, J. D. Gottfried;1822;1822;-1822;1822;1822-01-01;One of the largest (or the largest) wooden buildings in Latvia.;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_elijas-iela-18_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_elijas-iela-18_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9439352;24.1231782;Emīlijas Benjamiņas iela 9 (former Gogoļa iela 9);Emīlijas Benjamiņas iela 9, Latgales priekšpilsēta, Rīga, LV-1050;Annunciation of Our Most Holy Lady Church;Orthodox churches ;Church;Theodor Gottfried Schulz;;;;Theodor Gottfried Schulz;1818;1818;-1818;1818;1818-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 74.;Rīga;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_emilijas-benjaminas-iela-9_classicism.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_emilijas-benjaminas-iela-9_classicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";FALSE;Personal archive;Vladislavs Babaņins;Creative Commons Attribution 4.0 International (CC BY 4.0)
56.8993008;24.1723252;"""Ticības"", Ķekavas pagasts, LV-2111";Ticības, Ķekavas pagasts, LV-2111;Katlakalns’ Evangelical Lutheran Church;Evangelical churches  ;Church;Christoph Haberland;;;;Christoph Haberland;1794;1794;-1794;1794;1794-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.;Katlakalns;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_katlakalna-evangeliski-luteriska-baznica_classicism_web.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/riga_katlakalna-evangeliski-luteriska-baznica_classicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";TRUE;https://commons.wikimedia.org/wiki/File:Katlakalna_bazn%C4%ABca_pie_R%C4%ABgas_2000-03-05.jpg;J. Sedols;Creative Commons Attribution 3.0 Unported
56.9053063;24.9292542;„Luterāņu baznīca”, Suntaži, LV-5060;Suntaži, Suntažu pagasts, Ogres novads, LV-5060;Valga St. John’s Church;Evangelical churches  ;Church;Christoph Haberland;;;;Christoph Haberland;1782;1782;-1782;1782;1782-01-01;;Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.;Suntaži;Latvija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/suntazi_suntuzu-evangeliski-luteriska-baznica_classicism_web.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/suntazi_suntuzu-evangeliski-luteriska-baznica_classicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";TRUE;https://commons.wikimedia.org/wiki/File:%D0%A1%D1%83%D0%BD%D1%82%D0%B0%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C.jpg;anakes;Creative Commons Attribution 3.0 Unported
57.7769126;26.0308374;Kesk tn 21;Kesk tn 21, Valga, 68203 Valga maakond, Estonia;;Evangelical churches  ;Church;Christoph Haberland;;;;Christoph Haberland;1785;1785;-1785;1785;1785-01-01;;Skaidrīte Cielava [Zvanere-Zvanītāja], Arhitektūras stili Latvijā (Rīga: Mācību apgāds NT, 1998), 49.;Valga;Igaunija;https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/valga_kesk-tn-21_classicism_web.jpg;"<img src = 'https://raw.githubusercontent.com/Vladusty/riga-classicism-buildings-dataset/main/riga_classicism_buildings_photos/valga_kesk-tn-21_classicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>";TRUE;https://commons.wikimedia.org/wiki/File:Valga_Jaani_kirik_vaade_platsi_poolt._(2).jpg;Jyriorel;Creative Commons Attribution-Share Alike 4.0 International
